Date,Amount,Type,Merchant,Category,Method
"2026/04/25, 00:29:59",$210.24,TRANSACTION,SAMS CLUB.COM 06279,Wholesale Clubs,Online
"2026/04/25, 00:27:55",$112.26,TRANSACTION,SAMS CLUB.COM 06279,Wholesale Clubs,Online
"2026/04/25, 00:20:28",$429.94,TRANSACTION,ADIDAS US ONLINE STORE,Sports and Riding Apparel Stores,Online
"2026/04/24, 23:31:34",$176.89,TRANSACTION,GAP.COM,Family Clothing Stores,KeyedIn
"2026/04/24, 22:54:32",$374.50,TRANSACTION,ADIDAS US ONLINE STORE,Sports and Riding Apparel Stores,Online
"2026/04/24, 22:54:32",$74.90,TRANSACTION,ADIDAS US ONLINE STORE,Sports and Riding Apparel Stores,Online
"2026/04/24, 22:54:32",$74.90,TRANSACTION,ADIDAS US ONLINE STORE,Sports and Riding Apparel Stores,Online
"2026/04/24, 22:06:13",$778.96,TRANSACTION,ADIDAS US ONLINE STORE,Sports and Riding Apparel Stores,Online
"2026/04/22, 20:17:05",$195.18,TRANSACTION,LEVI'S OUTLET 488 488,Men’s and Boy’s Clothing and Accessories Stores,Contactless
"2026/04/21, 18:40:59",$963.00,TRANSACTION,BEAUTY MASTER - MG 000000001,Miscellaneous Specialty Retail,Contactless
"2026/04/21, 11:21:53",$25.63,TRANSACTION,AMAZON MKTPL*BJ0HT2FW2,Book Stores,KeyedIn
"2026/04/21, 05:22:21","-$3,807.14",PAYMENT,Payment,N/A,N/A
"2026/04/21, 00:13:03",$295.51,TRANSACTION,SEPHORA.COM,Cosmetic Stores,KeyedIn
"2026/04/20, 20:31:08",$27.98,TRANSACTION,STARBUCKS STORE 0275,Fast Food Restaurants,Contactless
"2026/04/20, 15:03:29",$7.49,TRANSACTION,CHAI BAI MEI BJ,Fast Food Restaurants,Contactless
"2026/04/20, 15:00:12",$394.91,TRANSACTION,"ADIDAS AMERICA, INC",Sports and Riding Apparel Stores,Contactless
"2026/04/20, 08:31:43",$69.72,TRANSACTION,AMAZON MKTPL*BY7CF3D01,Book Stores,KeyedIn
"2026/04/20, 08:31:37",$20.22,TRANSACTION,AMAZON MKTPL*BY7CL4D51,Book Stores,KeyedIn
"2026/04/20, 08:31:33",$20.22,TRANSACTION,AMAZON MKTPL*BY9UM6LD0,Book Stores,KeyedIn
"2026/04/20, 06:00:51",$25.66,TRANSACTION,AMAZON MKTPL*BY3TB82R1,Book Stores,KeyedIn
